="{Table A4: Marginal effects -Large Firms: Robussness I}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="",="",="",="(0.015)",="(0.014)",="(0.016)",="",="",=""
="2011 ln_age",="",="",="",="-0.032",="-0.013",="-0.020",="",="",=""
="",="",="",="",="(0.021)",="(0.021)",="(0.023)",="",="",=""
="2011 ln_gintidpt",="",="",="",="0.026***",="0.022***",="0.026***",="",="",=""
="",="",="",="",="(0.005)",="(0.005)",="(0.006)",="",="",=""
="2011 depth",="",="",="",="0.008",="-0.000",="0.001",="",="",=""
="",="",="",="",="(0.008)",="(0.008)",="(0.010)",="",="",=""
="2011 breadth",="",="",="",="0.020***",="0.010**",="0.018***",="",="",=""
="",="",="",="",="(0.005)",="(0.005)",="(0.005)",="",="",=""
="2011 financial_constraints",="",="",="",="-0.038",="0.005",="0.024",="",="",=""
="",="",="",="",="(0.037)",="(0.037)",="(0.041)",="",="",=""
="2011 knowledge_barriers",="",="",="",="0.047",="0.020",="0.017",="",="",=""
="",="",="",="",="(0.036)",="(0.035)",="(0.040)",="",="",=""
="2011 dominated_barrier",="",="",="",="-0.006",="0.021",="0.046",="",="",=""
="",="",="",="",="(0.044)",="(0.042)",="(0.048)",="",="",=""
="2011 uncertainty_barrier",="",="",="",="0.071**",="0.047",="0.034",="",="",=""
="",="",="",="",="(0.034)",="(0.033)",="(0.038)",="",="",=""
="2011 higher_education",="",="",="",="-0.014",="-0.026",="-0.003",="",="",=""
="",="",="",="",="(0.067)",="(0.065)",="(0.072)",="",="",=""
="2011 bip",="",="",="",="0.083***",="0.062**",="0.104***",="",="",=""
="",="",="",="",="(0.029)",="(0.028)",="(0.031)",="",="",=""
="2011 group",="",="",="",="-0.012",="0.010",="-0.010",="",="",=""
="",="",="",="",="(0.037)",="(0.036)",="(0.039)",="",="",=""
="2011 bextranj",="",="",="",="0.017",="0.023",="0.017",="",="",=""
="",="",="",="",="(0.032)",="(0.031)",="(0.035)",="",="",=""
="2011 exporter",="",="",="",="-0.002",="0.033",="0.022",="",="",=""
="",="",="",="",="(0.040)",="(0.039)",="(0.042)",="",="",=""
="2011 ManufAT",="",="",="",="0.025",="0.003",="0.030",="",="",=""
="",="",="",="",="(0.056)",="(0.053)",="(0.064)",="",="",=""
="2011 ManufTM",="",="",="",="-0.016",="-0.109***",="-0.088**",="",="",=""
="",="",="",="",="(0.039)",="(0.038)",="(0.043)",="",="",=""
="2011 ServAT",="",="",="",="-0.024",="-0.040",="-0.093",="",="",=""
="",="",="",="",="(0.061)",="(0.057)",="(0.065)",="",="",=""
="2011 ServRest",="",="",="",="-0.037",="-0.114***",="-0.110**",="",="",=""
="",="",="",="",="(0.042)",="(0.040)",="(0.043)",="",="",=""
="2011 z_cost",="",="",="",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="",="",=""
="2014 evolcifra",="",="",="",="",="",="",="0.037",="-0.067",="-0.026"
="",="",="",="",="",="",="",="(0.060)",="(0.054)",="(0.063)"
="2014 bsupport",="",="",="",="",="",="",="0.045",="-0.042",="0.006"
="",="",="",="",="",="",="",="(0.033)",="(0.032)",="(0.036)"
="2014 ln_size",="",="",="",="",="",="",="0.037***",="0.035***",="0.033**"
="",="",="",="",="",="",="",="(0.014)",="(0.013)",="(0.015)"
="2014 ln_age",="",="",="",="",="",="",="-0.036",="-0.015",="-0.028"
="",="",="",="",="",="",="",="(0.023)",="(0.021)",="(0.024)"
="2014 ln_gintidpt",="",="",="",="",="",="",="0.013***",="0.014***",="0.020***"
="",="",="",="",="",="",="",="(0.005)",="(0.005)",="(0.005)"
="2014 depth",="",="",="",="",="",="",="-0.002",="-0.003",="-0.002"
="",="",="",="",="",="",="",="(0.008)",="(0.008)",="(0.009)"
="2014 breadth",="",="",="",="",="",="",="0.025***",="0.012***",="0.020***"
="",="",="",="",="",="",="",="(0.005)",="(0.004)",="(0.005)"
="2014 financial_constraints",="",="",="",="",="",="",="-0.000",="0.024",="0.010"
="",="",="",="",="",="",="",="(0.039)",="(0.037)",="(0.042)"
="2014 knowledge_barriers",="",="",="",="",="",="",="0.049",="0.008",="0.049"
="",="",="",="",="",="",="",="(0.036)",="(0.034)",="(0.039)"
="2014 dominated_barrier",="",="",="",="",="",="",="-0.037",="0.011",="-0.016"
="",="",="",="",="",="",="",="(0.040)",="(0.036)",="(0.042)"
="2014 uncertainty_barrier",="",="",="",="",="",="",="0.044",="0.031",="0.043"
="",="",="",="",="",="",="",="(0.034)",="(0.032)",="(0.037)"
="2014 higher_education",="",="",="",="",="",="",="0.032",="0.040",="0.042"
="",="",="",="",="",="",="",="(0.060)",="(0.055)",="(0.063)"
="2014 bip",="",="",="",="",="",="",="0.086***",="0.076***",="0.105***"
="",="",="",="",="",="",="",="(0.028)",="(0.026)",="(0.030)"
="2014 group",="",="",="",="",="",="",="-0.035",="-0.010",="-0.011"
="",="",="",="",="",="",="",="(0.037)",="(0.035)",="(0.039)"
="2014 bextranj",="",="",="",="",="",="",="0.061**",="0.021",="0.043"
="",="",="",="",="",="",="",="(0.031)",="(0.029)",="(0.033)"
="2014 exporter",="",="",="",="",="",="",="0.002",="-0.020",="0.003"
="",="",="",="",="",="",="",="(0.039)",="(0.037)",="(0.040)"
="2014 ManufAT",="",="",="",="",="",="",="-0.019",="-0.004",="0.002"
="",="",="",="",="",="",="",="(0.053)",="(0.049)",="(0.059)"
="2014 ManufTM",="",="",="",="",="",="",="-0.067*",="-0.050",="-0.056"
="",="",="",="",="",="",="",="(0.038)",="(0.036)",="(0.041)"
="2014 ServAT",="",="",="",="",="",="",="-0.068",="0.044",="-0.015"
="",="",="",="",="",="",="",="(0.058)",="(0.050)",="(0.060)"
="2014 ServRest",="",="",="",="",="",="",="-0.082**",="-0.109***",="-0.076*"
="",="",="",="",="",="",="",="(0.041)",="(0.040)",="(0.043)"
="2014 z_cost",="",="",="",="",="",="",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="(.)",="(.)",="(.)"
="N",="866",="866",="866",="867",="867",="867",="867",="867",="867"
="N_clust",="",="",="",="",="",="",="",="",=""
="df_m",="",="",="",="",="",="",="",="",=""
="r2_a",="",="",="",="",="",="",="",="",=""
="widstat",="",="",="",="",="",="",="",="",=""
="j",="",="",="",="",="",="",="",="",=""
="jp",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="Source: Author's elaboration, based on The Spanish Technological innovation panel (PITEC)."
="* p<0.10, ** p<0.05, *** p<0.01"
